decade,mean_sst,std_sst,min_sst,max_sst
1850,18.593706,1.4682924,16.317892,21.274658
1860,18.61597,1.3838924,15.723806,21.211645
1870,18.724285,1.5563657,15.81476,21.40632
1880,18.481274,1.391417,15.837041,21.763325
1890,18.371365,1.3743418,15.982298,21.245737
1900,18.118448,1.3498071,15.825953,20.961521
1910,18.263998,1.3693545,15.87717,21.42056
1920,18.416445,1.2906357,16.38429,20.80723
1930,18.627216,1.4185162,16.674414,21.260838
1940,18.648043,1.5201749,15.994741,21.881233
1950,18.530443,1.4673004,16.006075,21.146973
1960,18.674114,1.4873142,16.212946,21.240604
1970,18.574528,1.4040445,16.406195,21.205667
1980,18.676025,1.4664654,16.299911,21.215195
1990,18.867151,1.4635502,16.385727,21.534023
2000,19.254597,1.5302517,16.799107,22.458994
2010,19.368713,1.5588243,16.723186,22.152006
2020,19.719692,1.5087917,17.372972,22.140186
